Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42202117,"From Scratch: A Memoir of Love, Sicily, and Finding Home",Tembi Locke,"Locke, Tembi",,1501187651,9781501187650,0,3.95,Simon & Schuster,Hardcover,339,2019,2019,,11/11/2022,to-read,to-read (#149),to-read,,,,0,0
58283080,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,"Bailey, Tessa",,0063045699,9780063045699,3,3.95,Avon,Paperback,400,2022,2022,3/24/2022,1/6/2022,2022,2022 (#29),read,,,,1,0
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,0063045656,9780063045651,3,3.99,Avon,Paperback,385,2021,2021,12/17/2021,11/8/2021,2021,2021 (#31),read,,,,1,0
44148563,"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey,"Bailey, Tessa",,0062872869,9780062872869,1,3.64,Avon,ebook,336,2020,2020,11/22/2021,11/20/2021,2021,2021 (#25),read,,,,1,0
61141014,"To Carve a Fae Heart (The Fair Isle Trilogy, #1)",Tessonja Odette,"Odette, Tessonja",,,,0,3.79,Crystal Moon Press,Kindle Edition,384,2022,2020,,11/6/2022,to-read,to-read (#129),to-read,,,,0,0
55648820,Seven Days in June,Tia Williams,"Williams, Tia",,,,0,4.04,Grand Central Publishing,Hardcover,336,2021,2021,,2/9/2023,to-read,to-read (#196),to-read,,,,0,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,1529029589,9781529029581,4,3.72,Picador,Paperback,213,2019,2015,1/31/2023,7/5/2022,"2023, owned","2023 (#1), owned (#1)",read,,,,1,0
59365195,"Bloodmarked (Legendborn, #2)",Tracy Deonn,"Deonn, Tracy",,1534441638,9781534441637,0,4.36,Simon Schuster Books for Young Readers,Hardcover,576,2022,2022,,8/22/2022,to-read,to-read (#79),to-read,,,,0,0
50892338,"Legendborn (Legendborn, #1)",Tracy Deonn,"Deonn, Tracy",,1534441603,9781534441606,4,4.37,Margaret K. McElderry Books,Hardcover,501,2020,2020,11/7/2022,11/8/2021,2022,2022 (#96),read,,,,1,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,,,4,4.49,Doubleday Canada,Hardcover,289,2016,2016,6/30/2022,3/27/2022,2022,2022 (#44),read,,,,1,0
33643994,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,"Levenseller, Tricia",,1250095964,9781250095961,0,3.98,Feiwel  and Friends,Hardcover,308,2017,2017,,11/10/2021,to-read,to-read (#15),to-read,,,,0,0
35702241,"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller,"Levenseller, Tricia",,1250189969,9781250189967,0,3.85,Feiwel and Friends,Hardcover,326,2020,2020,,11/8/2021,to-read,to-read (#12),to-read,,,,0,0
29939230,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"Schwab, V.E.",,0765387468,9780765387462,5,4.33,Tor,Hardcover,624,2017,2017,3/13/2023,5/16/2022,"2023, favorite","2023 (#6), favorite (#14)",read,,,,1,0
24845064,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,,,5,4.06,Titan Books,Kindle Edition,401,2015,2015,2/14/2023,6/13/2021,2023,2023 (#3),read,,,,1,0
26236443,"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,"Schwab, V.E.",,1783295422,9781783295425,5,4.23,Titan Books,Paperback,511,2016,2016,3/2/2023,5/16/2022,2023,2023 (#5),read,,,,1,0
58064046,Gallant,V.E. Schwab,"Schwab, V.E.",Manuel Sumberac,0062835777,9780062835772,0,3.73,Greenwillow Books,Hardcover,338,2022,2022,,4/17/2022,to-read,to-read (#40),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,0765387565,9780765387561,5,4.2,Tor Books,Hardcover,448,2020,2020,5/20/2021,5/13/2021,2021,2021 (#4),read,,,,1,0
