Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count,Series
60150115,A Light in the Flame ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1957568143,9781957568140.0,2,4.53,Bluebox Press,Paperback,652,2022.0,2022.0,11/18/2022,6/17/2022,2022,2022 (#99),read,This whole book could have been a 100 page 150 max. Barely anything happened. Although I have to admit that I’ll likely read the following book ,1,"Flesh and Fire, #2"
57282383,A Shadow in the Ember ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,2,4.48,Blue Box Press,Hardcover,647,2021.0,2021.0,2/24/2022,11/8/2021,2022,2022 (#20),read,,1,"Flesh and Fire, #1"
63847274,A Soul of Ash and Blood ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1957568461,9781957568461.0,1,3.99,Blue Box Press,Kindle Edition,636,2023.0,2023.0,8/7/2023,1/17/2023,2023,2023 (#18),read,What was the point of this book?<br/>And why did I read it?,1,"Blood and Ash, #5"
17455817,Every Last Breath ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,0373211147,9780373211142.0,3,4.22,Harlequin Teen,Paperback,378,2015.0,2015.0,1/9/2018,12/25/2017,2018,2018 (#3),read,,1,"The Dark Elements, #3"
52831200,From Blood and Ash ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1952457017,9781952457012.0,4,4.25,Blue Box Press,ebook,622,2020.0,2020.0,5/21/2021,5/20/2021,2021,2021 (#5),read,,1,"Blood and Ash, #1"
26529699,Oblivion ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,5,4.34,Entangled: Teen,Paperback,352,2015.0,2015.0,10/19/2016,6/30/2016,2016,2016 (#40),read,,1,"Lux, #1.5"
12578077,Obsidian ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,5,4.14,Entangled Teen,Paperback,335,2012.0,2011.0,6/18/2016,4/23/2016,"2016, owned","2016 (#7), owned (#42)",read,,1,"Lux, #1"
13047090,Onyx ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,4,4.24,Entangled Teen,Paperback,421,2012.0,2012.0,6/23/2016,6/22/2016,2016,2016 (#36),read,,1,"Lux, #2"
13362536,Opal ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1620610094,9781620610091.0,5,4.25,Entangled Teen,Paperback,394,2012.0,2012.0,6/26/2016,6/23/2016,2016,2016 (#37),read,,1,"Lux, #3"
13644055,Opposition ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1622662644,9781622662647.0,5,4.34,Entangled Teen,Paperback,533,2014.0,2014.0,6/30/2016,6/28/2016,2016,2016 (#39),read,,1,"Lux, #5"
13644052,Origin ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,5,4.33,Entangled Publishing,Paperback,374,2013.0,2013.0,6/28/2016,6/26/2016,2016,2016 (#38),read,,1,"Lux, #4"
17455815,Stone Cold Touch ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,3,4.21,Harlequin Teen,Kindle Edition,464,2014.0,2014.0,8/30/2017,8/30/2017,2017,2017 (#51),read,,1,"The Dark Elements, #2"
